EntryId;PublicXUsername;PublicTelegramUsername;WalletMasked;PublicStatus;DrawInput
74;@flourish_glory;@purplediamondman;0xdf1f...7d51;OK;74|@flourish_glory|@purplediamondman|0xdf1f...7d51
75;@eagbesua92920;@uniqueemmaculate;0x4356...de28;OK;75|@eagbesua92920|@uniqueemmaculate|0x4356...de28
76;@abaobi223065;@abaobi;0x4327...f1b1;OK;76|@abaobi223065|@abaobi|0x4327...f1b1
77;@0xveiled;@zw624434;0x6ed9...017a;OK;77|@0xveiled|@zw624434|0x6ed9...017a
78;@agustian1987;@agustian1208;0xbd81...e20d;OK;78|@agustian1987|@agustian1208|0xbd81...e20d
79;@dasmisu2001;@misu677;0x4dd8...dd9a;OK;79|@dasmisu2001|@misu677|0x4dd8...dd9a
80;@francisobe4;@otipiszero;0x2109...eaae;OK;80|@francisobe4|@otipiszero|0x2109...eaae
81;@delben096;@aybenzy;0xda1a...c33d;OK;81|@delben096|@aybenzy|0xda1a...c33d
82;@the_main_ay;@the_main_ay;0xfdcc...aac4;OK;82|@the_main_ay|@the_main_ay|0xfdcc...aac4
83;@mullingste1;@yahawaiian;0xd695...7c3c;OK;83|@mullingste1|@yahawaiian|0xd695...7c3c
84;@jax_nia6;@capitalizerr;0x220b...23f1;OK;84|@jax_nia6|@capitalizerr|0x220b...23f1
85;@obehsun;@sunnyblck;0xb013...a1f9;OK;85|@obehsun|@sunnyblck|0xb013...a1f9
86;@josoffconcepts;@josephmandel;0xb13b...49fc;OK;86|@josoffconcepts|@josephmandel|0xb13b...49fc
87;@obehsunday44178;@happinessml;0xb14b...87bf;OK;87|@obehsunday44178|@happinessml|0xb14b...87bf
88;@bullished1;@adewaleseh;0x7fd0...93d2;OK;88|@bullished1|@adewaleseh|0x7fd0...93d2
89;@sindiemie;@imgorgeousyeah;0x4b99...f8a6;OK;89|@sindiemie|@imgorgeousyeah|0x4b99...f8a6
90;@inufelemuni1;@inufelemuni1;0xae3d...460f;OK;90|@inufelemuni1|@inufelemuni1|0xae3d...460f
91;@zaunt4;@obehana;0x2608...8099;OK;91|@zaunt4|@obehana|0x2608...8099
92;@jcannadie;@happyoml;0x345f...46b6;OK;92|@jcannadie|@happyoml|0x345f...46b6
93;@uangdroid2805;@uangdroid98;0x92f9...b83b;OK;93|@uangdroid2805|@uangdroid98|0x92f9...b83b
94;@giande0;@gian1857;0x60cc...00db;OK;94|@giande0|@gian1857|0x60cc...00db
95;@akunx366080;@rflyyy12;0x2338...2239;OK;95|@akunx366080|@rflyyy12|0x2338...2239
96;@hamsetya;@ilhamsett;0x8927...4816;OK;96|@hamsetya|@ilhamsett|0x8927...4816
97;@jalianalya;@konhoki1;0xbc90...cf40;OK;97|@jalianalya|@konhoki1|0xbc90...cf40
98;@avetetsu_14;@animecryptoo;0xc3a8...29cf;OK;98|@avetetsu_14|@animecryptoo|0xc3a8...29cf
99;@macd1148;@godson1313vayla;0x32cf...b2e3;OK;99|@macd1148|@godson1313vayla|0x32cf...b2e3
100;@olaseunny;@luckybit1;0x74e1...62ea;OK;100|@olaseunny|@luckybit1|0x74e1...62ea
101;@veliza7_;@veliza93;0x8acf...7934;OK;101|@veliza7_|@veliza93|0x8acf...7934
102;@lanretimmy;@lanretimmy;0x3bd5...ca41;OK;102|@lanretimmy|@lanretimmy|0x3bd5...ca41
103;@simuj17;@khotibsaban;0x4bb8...b8b9;OK;103|@simuj17|@khotibsaban|0x4bb8...b8b9
104;@azzumabwhb;@tzuyoung;0xd2b0...f733;OK;104|@azzumabwhb|@tzuyoung|0xd2b0...f733
105;@bullsrn;@bullsrn;0xdad6...ff8b;OK;105|@bullsrn|@bullsrn|0xdad6...ff8b
106;@cam_pierce14;@kitttyyyong;0x923a...f3ea;OK;106|@cam_pierce14|@kitttyyyong|0x923a...f3ea
107;@myrtliciousdvo;@xyz_shadow;0x6d08...d70b;OK;107|@myrtliciousdvo|@xyz_shadow|0x6d08...d70b
108;@arifferdiana;@arifferdiana;0x5ae3...3580;OK;108|@arifferdiana|@arifferdiana|0x5ae3...3580
109;@perolas776;@ldong9;0x129f...384a;OK;109|@perolas776|@ldong9|0x129f...384a
110;@famiisky;@damabiye;0xf66b...110d;OK;110|@famiisky|@damabiye|0xf66b...110d
111;@arton_op;@op_sunggu;0x1390...e8d2;OK;111|@arton_op|@op_sunggu|0x1390...e8d2
112;@asifikaika;@pushhi;0x83c2...f943;OK;112|@asifikaika|@pushhi|0x83c2...f943
113;@cesar_ks26;@santokely_c;0xb6a2...75fb;OK;113|@cesar_ks26|@santokely_c|0xb6a2...75fb
114;@jondidan;@masifex;0x7b15...75d0;OK;114|@jondidan|@masifex|0x7b15...75d0
115;@apes_maniac;@b1gb0s;0x5253...8bce;OK;115|@apes_maniac|@b1gb0s|0x5253...8bce
116;@haniff_28;@admairdrophunter;0x7396...a890;OK;116|@haniff_28|@admairdrophunter|0x7396...a890
117;@burger_czz;@eth_burger;0x34a8...8eb4;OK;117|@burger_czz|@eth_burger|0x34a8...8eb4
118;@ayubamartins1;@mart218;0xee94...3802;OK;118|@ayubamartins1|@mart218|0xee94...3802
119;@jihan_malaika;@putrimutiara1;0x5670...8380;OK;119|@jihan_malaika|@putrimutiara1|0x5670...8380
120;@kaisar_swareg;@swaregst17;0x245c...37e2;OK;120|@kaisar_swareg|@swaregst17|0x245c...37e2
121;@herxclency;@herxclency;0x4b16...a786;OK;121|@herxclency|@herxclency|0x4b16...a786
122;@babsofla1;@babstheking1;0xe8a5...690e;OK;122|@babsofla1|@babstheking1|0xe8a5...690e
123;@citrasatelit81;@kenchin47;0xbe03...10d4;OK;123|@citrasatelit81|@kenchin47|0xbe03...10d4
124;@samuelposs39287;@posh258;0x7a7d...94dc;OK;124|@samuelposs39287|@posh258|0x7a7d...94dc
125;@roxanne15saad;@skylark_xyz;0x8081...af48;OK;125|@roxanne15saad|@skylark_xyz|0x8081...af48
126;@pulpyshallwe;@joshiejoe;0x559b...f1ac;OK;126|@pulpyshallwe|@joshiejoe|0x559b...f1ac
127;@oluwafejosh;@sundae_cnft;0x1bfd...c017;OK;127|@oluwafejosh|@sundae_cnft|0x1bfd...c017
128;@kholil_lathif;@kholillathif;0x2fda...870b;OK;128|@kholil_lathif|@kholillathif|0x2fda...870b
129;@bodeolaose4433;@kelvey001;0xa90a...7a2f;OK;129|@bodeolaose4433|@kelvey001|0xa90a...7a2f
130;@jerry_joseph01;@khunmex16;0x44e0...f4fd;OK;130|@jerry_joseph01|@khunmex16|0x44e0...f4fd
131;@lil_krypt;@krypt_dawg;0x3167...8097;OK;131|@lil_krypt|@krypt_dawg|0x3167...8097
132;@essaonxy;@essaonx;0x07bb...a0f1;OK;132|@essaonxy|@essaonx|0x07bb...a0f1
133;@keralove144349;@sengkugod9;0x67b9...7512;OK;133|@keralove144349|@sengkugod9|0x67b9...7512
134;@_legend001;@legendary014;0x086f...badd;OK;134|@_legend001|@legendary014|0x086f...badd
135;@bhilde69448;@kingyhwach1;0x3dd3...da4b;OK;135|@bhilde69448|@kingyhwach1|0x3dd3...da4b
136;@kelv_evox;@kelvey01;0xd696...c0fc;OK;136|@kelv_evox|@kelvey01|0xd696...c0fc
137;@icejjuice;@vinividivici20;0x649c...5da6;OK;137|@icejjuice|@vinividivici20|0x649c...5da6
